cycle_number,PBT,PBT_std,CPMLP,CPMLP_std,CPTrans,CPTrans_std
1,0.15170350060078028,0.005186351107889616,0.22102989574836593,0.008445352827675407,0.22517230225660048,0.007741476547574796
2,0.14949723393279135,0.006251689780857295,0.20597109858622328,0.005621564645790231,0.20658769420653378,0.009923063564079777
3,0.1495291499391551,0.006031209084608694,0.2029539763249105,0.004810897748137128,0.1905618239444209,0.005618476083173314
4,0.1492455701874255,0.006012607361169409,0.20876784039216387,0.02367298922641762,0.19062966372742499,0.0023308354462524927
5,0.14950384657651963,0.00578422322490633,0.18567549077247336,0.0046946956240679835,0.1845247631721659,0.004818874052105016
6,0.14944168831930585,0.005497505690534909,0.18464778535557355,0.004589773777064984,0.18097754389791354,0.007856422166790323
7,0.14871230109742425,0.005418749509209207,0.18492526836169967,0.004985434849375793,0.18165124451134598,0.004195676453828998
8,0.14821441463165363,0.005699122851559965,0.18317260569606467,0.004826946533986761,0.18358256068779108,0.006024528537286345
9,0.1473595986768088,0.005565504516308389,0.18056994326411954,0.004270844245622429,0.1842916200733921,0.004811372430312252
10,0.14641271881765108,0.004862490557453074,0.1799212035662929,0.004340153826902166,0.18481239849035458,0.005636147284269869
11,0.14676737183946273,0.00478945564305741,0.17734961411731945,0.0048115027980281345,0.18342011248112303,0.004727774603518405
12,0.14643141546632796,0.0049145279906515835,0.17841376236541404,0.004057677590658547,0.1864691596219207,0.004019111219996427
13,0.14663890488098066,0.004450574136645966,0.17728886641177843,0.003099801705300206,0.18584730044427053,0.004738526860527448
14,0.14579201224939,0.003894162468420657,0.17596507541222225,0.002835149352525959,0.18383478260452982,0.004141121043275057
15,0.14589410696857688,0.003965778770465551,0.17758737355114088,0.002996106968926708,0.1875091974299975,0.006203501386983772
16,0.14540489223691377,0.0036511692362347008,0.17803902422970094,0.0018736744565209917,0.18720398105617017,0.0027458122547190634
17,0.14570893781480007,0.0037495309757700516,0.1769412203571544,0.0010436765881817606,0.18659303598818874,0.0018320723462249171
18,0.14632157819001412,0.004068462476447531,0.1774073912586717,0.00137164605881072,0.18851789430163882,0.002184578316842795
19,0.14634162792983646,0.00378465824760576,0.17750185843653155,0.001202919897198131,0.19029248524487496,0.00177139543005963
20,0.14662363373551757,0.004127078418712583,0.17771947089673723,0.0009848184441803498,0.19196429937641132,0.0037626232286511892
21,0.14646115648998947,0.004523764194450689,0.17876144578074893,0.0005147631520412766,0.19233944900954195,0.0035020348923008836
22,0.14644594768407285,0.004230713376357514,0.17802674875053018,0.00043697637802361393,0.19017153743965678,0.004498836894205038
23,0.14567999259392816,0.0038581025342689255,0.17815468877287288,0.0015003637412293112,0.18848031762703873,0.0005615974228481567
24,0.14587323437286634,0.004018698817872381,0.17860164005054702,0.0006105601439587157,0.1890225786735522,0.002370615206740593
25,0.14534189693800698,0.004759996411229276,0.17639334203589022,0.0010165704821924666,0.18951570366345258,0.003622085565966621
26,0.1445801497438274,0.00503157029976258,0.17585948533393791,0.0016303409755265945,0.18863558582340434,0.0021565661429926073
27,0.14411235211898263,0.00474065013595368,0.17677746701612462,0.0021260286968374843,0.18458482093568085,0.002400553923964283
28,0.14406226383625986,0.005040741863294134,0.1760233803825494,0.0018444838909592175,0.18478628770113892,0.0030360619375978688
29,0.14403850760470682,0.005033767824952912,0.17675591290103065,0.0025767698389793977,0.18400555069345226,0.001657947545938513
30,0.14462803948229844,0.004865157750393156,0.17664603950656046,0.002519924472754468,0.18334671211152656,0.0028921195168694074
31,0.14426950804802288,0.0049413679442781525,0.17515681017048987,0.0022216829744957636,0.1829117697680586,0.0056469542607438744
32,0.14464594042454837,0.005401776932106853,0.17409767729356604,0.002442662110828102,0.18181198344695762,0.0022315062497918377
33,0.1444567885995221,0.004838096976408195,0.1744979058375402,0.0030148523660469386,0.1833087593074422,0.0028869034863690025
34,0.14414801640484642,0.004983665344897696,0.17534943892972554,0.003182105370148073,0.18101296595448224,0.0021384337389689684
35,0.14365823279653858,0.004184735406644235,0.17553839937231022,0.0025615735578249413,0.18196941365166341,0.004848229915768494
36,0.14397063675910218,0.004512142887089694,0.1761916890459595,0.002638369023463555,0.18242701068246234,0.00531057155297502
37,0.14399364038971463,0.004343874624608401,0.17562716550212218,0.002652335060072888,0.17981387391274362,0.002244296048660837
38,0.14411962345564278,0.004635305262444512,0.1766376173748124,0.0032925611845605893,0.18002894963555152,0.00121923480893602
39,0.14332833976059559,0.00460488195020776,0.17592929229575036,0.003502892875786485,0.18017007997265333,0.00047743967216745247
40,0.14326788195612353,0.00415189808290132,0.17549702785117774,0.003061736326754588,0.1810048102918647,0.002166304702044828
41,0.14312723501478566,0.004082453042913692,0.17547914143765053,0.002879685258785035,0.18116031284078207,0.002515649951700095
42,0.14337973554055702,0.003951387163387342,0.17546850158287383,0.0033446071323608192,0.18136137681645836,0.0019122578050001944
43,0.143214332015962,0.003963099991299544,0.1755802603741604,0.0030397771374823896,0.18011125620351298,0.0010305411833111346
44,0.14298021188110635,0.004250246683337263,0.1760836220736551,0.002443881419801183,0.1799655833758463,0.003014950591871655
45,0.14281930662818423,0.004422200759679743,0.17636274919207554,0.0033024523363025466,0.1802711477411505,0.0027583275088958266
46,0.14198656313357227,0.003435251715347736,0.1767461505182896,0.0029918498425055306,0.17864555871453933,0.002410932506829018
47,0.14252659791301478,0.0036367048726950344,0.17625374442777578,0.0034447271145808013,0.17812007700397203,0.002849553945623904
48,0.1420234977713273,0.0033669891003146866,0.1762187481163816,0.0036306457927699786,0.17898032103325004,0.00041495921624159837
49,0.14221466380433387,0.003644702686924154,0.1762730047660962,0.003372571966880766,0.18155882863535608,0.0012133613547377266
50,0.14340671503070293,0.003377545676107938,0.17671985457439932,0.003559677936503769,0.17966517802302784,0.0009317458927863435
51,0.1422222044560337,0.003205806342775362,0.17653560715399053,0.003297283193431244,0.18403671511104058,0.002527416337058208
52,0.14191612501763867,0.003431617105386685,0.17694335535842917,0.002795562747171391,0.17939474279650156,0.0028526935013069733
53,0.14133427217554492,0.0034424721588917013,0.17665693840059807,0.003614414596637252,0.1805041243164728,0.0015033064277964914
54,0.14111714926006372,0.00315540762886459,0.17711878038221485,0.003631825166073284,0.17909865488290092,0.0011327446153075987
55,0.14139099335277228,0.0034346607770467247,0.17728942767226386,0.0036628872329627755,0.1843863391983561,0.0017980286200792537
56,0.14137495925990115,0.0037612894502646824,0.17728403151081706,0.0038170920923807188,0.18103794716630137,0.0030380854591865775
57,0.1419705543264005,0.0035981933067437233,0.17758578256149424,0.003671507917112904,0.18306023175955266,0.001890994429759267
58,0.14218080306727657,0.003508124081143929,0.1782716177097782,0.003228582364276499,0.18304286843152975,0.0011706555026329984
59,0.1422641368729365,0.0034853608406822004,0.17831159043292147,0.0040259307386383315,0.18639021028127867,0.003146222258233204
60,0.14260202271263497,0.0036388744691007308,0.17776996005339687,0.0036897350285609023,0.18486627802610225,0.005196558237683046
61,0.14292691952851463,0.003607655644511123,0.17747203068144315,0.00395209908421361,0.184974948751625,0.0018143522162483423
62,0.14277888073270525,0.003942395861154069,0.17734595665238703,0.004202636829091512,0.1818550895095863,0.0041922628288071015
63,0.14224178467988052,0.003365795049513699,0.1763693445873594,0.004126602753909901,0.1860350227718941,0.00239183620178824
64,0.14274230094881935,0.0031379319513082414,0.17660489398722334,0.004388608369525114,0.18379021512018123,0.0017747028371545505
65,0.14189836511452236,0.0028959001063071795,0.17692847962575073,0.005053790717267127,0.18413657031951933,0.003215231848627394
66,0.14153248948328603,0.0028327274270959152,0.1773638148122673,0.004790888854003573,0.18228557604530846,0.0037355826367765597
67,0.14164018444000034,0.003008076982864702,0.17750629077782595,0.004536751767558926,0.18223141654724576,0.005540571070549494
68,0.1422496959380718,0.0035671192164511657,0.17719355374361712,0.004173729155435346,0.18141222442268864,0.006251608679610722
69,0.14247460891927885,0.003343522113137921,0.17733855103999804,0.004692854355370638,0.18337843376926968,0.004480434669214284
70,0.14227077342152186,0.003476640405287902,0.17725037512789102,0.004857411728993955,0.18117500661364702,0.002211631257960827
71,0.14203631222224097,0.0033316257324448742,0.17767819795514636,0.004657532539159673,0.1796466022964627,0.0038338154485691154
72,0.14176365436317837,0.0031169433619497467,0.17773941580189853,0.004731151923400233,0.18030027136773208,0.0050138035077931485
73,0.14159155013699223,0.0029472524372178583,0.1780495364214603,0.004421685114774014,0.18119802755526085,0.006581682915950423
74,0.14131364563908402,0.0029147918414257675,0.1781013910337311,0.004545618624355843,0.18084435334544025,0.006246026106521156
75,0.14199328056842841,0.0023714828453291065,0.17820295281058426,0.004946200604894849,0.18012514217535205,0.005709113881077136
76,0.14104092504093602,0.002638673306441834,0.17827056508325878,0.004681211299343517,0.17859011392782562,0.004651778542962139
77,0.14108281849975204,0.002789501048429579,0.17855089564578455,0.004810537756662803,0.17877473902283836,0.005601006035298419
78,0.1412842578638708,0.0034155060761939396,0.17810634498647251,0.004579933773868303,0.17886682771080153,0.0036522950253104073
79,0.14161253202667892,0.0037023878984316725,0.17817847867847883,0.004730893205193689,0.17850280086869352,0.003296235919065689
80,0.14175161271662515,0.0034654094300321145,0.17850390063876306,0.0046961310583464476,0.1796681768026898,0.004965245069855258
81,0.14181621651195744,0.0031673734497451506,0.17853442099712627,0.0043219639757432,0.17839441299482248,0.004357319073448575
82,0.1422826457663675,0.0036992433777312448,0.17871275033749112,0.004080789621180145,0.17769337235916285,0.003836267296982603
83,0.1419953614001617,0.0032505492883287915,0.17854721859338787,0.0037655356220233456,0.18013436150600062,0.004018796868286009
84,0.14207648831392655,0.0035209923320113578,0.1787080653742902,0.003747518007381206,0.18132697151910934,0.006540563659765743
85,0.14254476500560034,0.003529567140646657,0.1786222253366685,0.003679083121203066,0.18094194870727262,0.008190275267500033
86,0.14197262435045882,0.003508942954502132,0.17801600886406801,0.003950746937406868,0.18049041951684341,0.005847385501315236
87,0.14217555248737346,0.0033549361587739495,0.1781116907516255,0.0038991547835447145,0.18297060978704918,0.007667281645033983
88,0.14226892444549474,0.003239415841977381,0.17762808749685122,0.004028432613121884,0.18126571262684932,0.005093584051357166
89,0.1418384960993714,0.003500911737215892,0.1776239627706381,0.003997297933534283,0.18227170044282057,0.005912057748369571
90,0.14181762111569826,0.0034481613190303815,0.17785047383630884,0.004072246152160508,0.18061574376694356,0.006138280969887416
91,0.14211415616967696,0.003807253993257843,0.1775966639762668,0.0037829922924816958,0.1838725177403758,0.0065854182142614
92,0.1422071027621361,0.0035936106511783206,0.17759953928479413,0.0036384853054597928,0.18242822031554182,0.006549654034830393
93,0.14217915861594202,0.004008492295066662,0.17776048791553603,0.003767519778471073,0.18301048396038957,0.005930502140861664
94,0.14209194861515206,0.004197274608119192,0.17807062580112284,0.0039472714321508616,0.1830969380671441,0.009598319301827484
95,0.14198383352790953,0.0033855715143382855,0.17851410199521897,0.003876223000732153,0.1834328168935301,0.008281727020138383
96,0.14121600233395754,0.0030944766600700777,0.17888170761126032,0.004587435589800072,0.18276633408587528,0.00915468645295284
97,0.14134608281202812,0.003416186841367023,0.17907731131367136,0.0051578387826213415,0.18019412580216332,0.008107756953440416
98,0.14176994290402414,0.0038165372197226767,0.17964024154225122,0.005837488761998888,0.18126077278595173,0.00808371440085727
99,0.14184568702341938,0.003960015173727798,0.18051279020558328,0.006399347386524017,0.18190689007058922,0.007626323951909868
100,0.143141661515518,0.003893323941351121,0.18230258902534735,0.0066410028326791696,0.18051982062750693,0.007230325740103259
